,TeamHome,ScoreHome,ScoreAway,TeamAway,Year
897,Turquía,87,40,China,2010
898,Nueva Zelandia,79,92,Lituania,2010
899,Canadá,71,81,Líbano,2010
900,Francia,72,66,España,2010
901,Lituania,70,68,Canadá,2010
902,Líbano,59,86,Francia,2010
903,España,101,84,Nueva Zelandia,2010
904,Nueva Zelandia,108,76,Líbano,2010
905,Francia,68,63,Canadá,2010
906,España,73,76,Lituania,2010
907,Canadá,61,71,Nueva Zelandia,2010
908,Líbano,79,94,España,2010
909,Lituania,69,55,Francia,2010
910,España,89,67,Canadá,2010
911,Líbano,66,84,Lituania,2010
912,Nueva Zelandia,82,70,Francia,2010
913,Serbia,73,72,Croacia,2010
914,España,80,72,Grecia,2010
915,Eslovenia,87,58,Australia,2010
916,Turquía,95,77,Francia,2010
917,Estados Unidos,121,66,Angola,2010
918,Russie,78,56,Nueva Zelandia,2010
919,Lituania,78,67,China,2010
920,Argentina,93,89,Brasil,2010
921,Serbia,92,89,España,2010
922,Turquía,95,68,Eslovenia,2010
923,Estados Unidos,89,79,Russie,2010
924,Lituania,104,85,Argentina,2010
925,España,97,80,Eslovenia,2010
926,Russie,61,73,Argentina,2010
927,Eslovenia,78,83,Russie,2010
928,Estados Unidos,89,74,Lituania,2010
929,Serbia,82,83,Turquía,2010
930,España,81,86,Argentina,2010
931,Lituania,99,88,Serbia,2010
932,Turquía,64,81,Estados Unidos,2010
933,Serbia,85,64,Egipto,2014
934,Brasil,65,63,Francia,2014
935,España,90,60,Irán,2014
936,Francia,74,73,Serbia,2014
937,Brasil,79,50,Irán,2014
938,España,91,54,Egipto,2014
939,Serbia,83,70,Irán,2014
940,Francia,94,55,Egipto,2014
941,España,82,63,Brasil,2014
942,Irán,88,73,Egipto,2014
943,Brasil,81,73,Serbia,2014
944,España,88,64,Francia,2014
945,Brasil,128,65,Egipto,2014
946,Francia,81,76,Irán,2014
947,España,89,73,Serbia,2014
948,Croacia,81,78,Filipinas,2014
949,Argentina,98,75,Puerto Rico,2014
950,Grecia,87,64,Senegal,2014
951,Croacia,90,85,Argentina,2014
952,Senegal,82,75,Puerto Rico,2014
953,Grecia,82,70,Filipinas,2014
954,Senegal,77,75,Croacia,2014
955,Argentina,85,81,Filipinas,2014
956,Grecia,90,79,Puerto Rico,2014
957,Puerto Rico,77,73,Filipinas,2014
958,Argentina,81,46,Senegal,2014
959,Grecia,76,65,Croacia,2014
960,Filipinas,81,79,Senegal,2014
961,Croacia,103,82,Puerto Rico,2014
962,Grecia,79,71,Argentina,2014
963,Ucrania,72,62,republique dominicaire,2014
964,Turquía,76,73,Nueva Zelandia,2014
965,Estados Unidos,114,55,Finlandia,2014
966,republique dominicaire,76,63,Nueva Zelandia,2014
967,Finlandia,81,76,Ucrania,2014
968,Estados Unidos,98,77,Turquía,2014
969,Ucrania,64,58,Turquía,2014
970,Estados Unidos,98,71,Nueva Zelandia,2014
971,republique dominicaire,74,68,Finlandia,2014
972,Nueva Zelandia,73,61,Ucrania,2014
973,Turquía,77,73,Finlandia,2014
974,Estados Unidos,106,71,republique dominicaire,2014
975,Nueva Zelandia,67,65,Finlandia,2014
976,Estados Unidos,95,71,Ucrania,2014
977,Turquía,77,64,republique dominicaire,2014
978,Angola,80,69,Corea del Sur,2014
979,Eslovenia,90,80,Australia,2014
980,Lituania,87,74,México,2014
981,Australia,89,55,Corea del Sur,2014
982,Eslovenia,89,68,México,2014
983,Lituania,75,62,Angola,2014
984,México,79,55,Angola,2014
985,Australia,82,75,Lituania,2014
986,Eslovenia,89,72,Corea del Sur,2014
987,Australia,70,62,México,2014
988,Eslovenia,93,87,Angola,2014
989,Lituania,79,49,Corea del Sur,2014
990,Angola,91,83,Australia,2014
991,México,87,71,Corea del Sur,2014
992,Lituania,67,64,Eslovenia,2014
993,Estados Unidos,86,63,México,2014
994,Francia,69,64,Croacia,2014
995,Eslovenia,71,61,republique dominicaire,2014
996,España,89,56,Senegal,2014
997,Lituania,76,71,Nueva Zelandia,2014
998,Serbia,90,72,Grecia,2014
999,Turquía,65,64,Australia,2014
1000,Brasil,85,65,Argentina,2014
1001,Lituania,73,61,Turquía,2014
1002,Estados Unidos,119,76,Eslovenia,2014
1003,Serbia,84,56,Brasil,2014
1004,Francia,65,52,España,2014
1005,Estados Unidos,96,68,Lituania,2014
1006,Serbia,90,85,Francia,2014
1007,Francia,95,93,Lituania,2014
1008,Estados Unidos,129,92,Serbia,2014
1009,Polonia,80,69,Venezuela,2019
1010,China,70,55,Costa de Marfil,2019
1011,Venezuela,87,71,Costa de Marfil,2019
1012,Polonia,79,76,China,2019
1013,Polonia,80,63,Costa de Marfil,2019
1014,Venezuela,72,59,China,2019
1015,Russie,82,77,Nigeria,2019
1016,Argentina,95,69,Corea del Sur,2019
1017,Argentina,94,81,Nigeria,2019
1018,Russie,87,73,Corea del Sur,2019
1019,Nigeria,108,66,Corea del Sur,2019
1020,Argentina,69,61,Russie,2019
1021,Puerto Rico,83,81,Irán,2019
1022,España,101,62,Túnez,2019
1023,Túnez,79,67,Irán,2019
1024,España,73,63,Puerto Rico,2019
1025,Puerto Rico,67,64,Túnez,2019
1026,España,73,65,Irán,2019
1027,Serbia,105,59,Angola,2019
1028,Italia,108,62,Filipinas,2019
1029,Italia,92,61,Angola,2019
1030,Serbia,126,67,Filipinas,2019
1031,Angola,84,81,Filipinas,2019
1032,Serbia,92,77,Italia,2019
1033,Turquía,86,67,Japón,2019
1034,Estados Unidos,88,67,republique tcheque,2019
1035,republique tcheque,89,76,Japón,2019
1036,Estados Unidos,93,92,Turquía,2019
1037,republique tcheque,91,76,Turquía,2019
1038,Estados Unidos,98,45,Japón,2019
1039,Brasil,102,94,Nueva Zelandia,2019
1040,Grecia,85,60,Montenegro,2019
1041,Nueva Zelandia,93,83,Montenegro,2019
1042,Brasil,79,78,Grecia,2019
1043,Brasil,84,73,Montenegro,2019
1044,Grecia,103,97,Nueva Zelandia,2019
1045,republique dominicaire,80,76,Jordania,2019
1046,Francia,78,74,Alemania,2019
1047,republique dominicaire,70,68,Alemania,2019
1048,Francia,103,64,Jordania,2019
1049,Alemania,96,62,Jordania,2019
1050,Francia,90,56,republique dominicaire,2019
1051,Australia,108,92,Canadá,2019
1052,Lituania,101,47,Senegal,2019
1053,Australia,81,68,Senegal,2019
1054,Lituania,92,69,Canadá,2019
1055,Canadá,82,60,Senegal,2019
1056,Australia,87,82,Lituania,2019
1057,Polonia,79,74,Russie,2019
1058,Argentina,87,67,Venezuela,2019
1059,Russie,69,60,Venezuela,2019
1060,Argentina,91,65,Polonia,2019
1061,Serbia,90,47,Puerto Rico,2019
1062,España,67,60,Italia,2019
1063,Italia,94,89,Puerto Rico,2019
1064,España,81,69,Serbia,2019
1065,republique tcheque,93,71,Brasil,2019
1066,Estados Unidos,69,53,Grecia,2019
1067,Grecia,84,77,republique tcheque,2019
1068,Estados Unidos,89,73,Brasil,2019
1069,Australia,82,76,republique dominicaire,2019
1070,Francia,78,75,Lituania,2019
1071,Lituania,74,55,republique dominicaire,2019
1072,Australia,100,98,Francia,2019
1073,Nigeria,83,66,Costa de Marfil,2019
1074,China,77,73,Corea del Sur,2019
1075,Corea del Sur,80,71,Costa de Marfil,2019
1076,Nigeria,86,73,China,2019
1077,Irán,71,62,Angola,2019
1078,Túnez,86,67,Filipinas,2019
1079,Túnez,86,84,Angola,2019
1080,Irán,95,75,Filipinas,2019
1081,Nueva Zelandia,111,81,Japón,2019
1082,Turquía,79,74,Montenegro,2019
1083,Montenegro,80,65,Japón,2019
1084,Nueva Zelandia,102,101,Turquía,2019
1085,Canadá,126,71,Jordania,2019
1086,Alemania,89,78,Senegal,2019
1087,Jordania,79,77,Senegal,2019
1088,Alemania,82,76,Canadá,2019
1089,Argentina,97,87,Serbia,2019
1090,España,90,78,Polonia,2019
1091,Francia,89,79,Estados Unidos,2019
1092,Australia,82,70,republique tcheque,2019
1093,Serbia,94,89,Estados Unidos,2019
1094,republique tcheque,94,84,Polonia,2019
1095,España,95,88,Australia,2019
1096,Argentina,80,66,Francia,2019
1097,Estados Unidos,87,74,Polonia,2019
1098,Serbia,90,81,republique tcheque,2019
1099,Francia,67,59,Australia,2019
1100,España,95,75,Argentina,2019
